TLD,Alexa #,Domain #,Start Date,Zone,Whois Server,Registry
business,13,27981,2014-08-18,business,whois.nic.business,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
training,13,22049,2013-12-19,training,whois.nic.training,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
fyi,13,25932,2015-05-14,fyi,whois.nic.fyi,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
gallery,13,19021,2013-11-08,gallery,whois.nic.gallery,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
gratis,12,3961,2014-04-17,gratis,whois.nic.gratis,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
gy,12,0,1994-09-13,gy,whois.registry.gy,"<a class=""jqgrid-link"" href=""https://registry.gy/"" target=""_blank"">https://registry.gy/</a>"
sd,12,0,1997-03-06,sd,"","<a class=""jqgrid-link"" href=""http://www.isoc.sd"" target=""_blank"">http://www.isoc.sd</a>"
directory,12,17977,2013-11-13,directory,whois.nic.directory,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
law,12,16743,2015-06-18,law,whois.nic.law,"<a class=""jqgrid-link"" href=""http://mm-registry.com"" target=""_blank"">http://mm-registry.com</a>"
foundation,12,17938,2014-02-06,foundation,whois.nic.foundation,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
tt,12,0,1991-09-03,tt,"","<a class=""jqgrid-link"" href=""http://www.nic.tt"" target=""_blank"">http://www.nic.tt</a>"
university,12,7088,2014-04-03,university,whois.nic.university,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
gl,12,0,1994-04-08,gl,whois.nic.gl,"<a class=""jqgrid-link"" href=""http://www.nic.gl/"" target=""_blank"">http://www.nic.gl/</a>"
mo,11,0,1992-09-17,mo,whois.monic.mo,"<a class=""jqgrid-link"" href=""https://www.monic.mo"" target=""_blank"">https://www.monic.mo</a>"
energy,11,15016,2014-10-16,energy,whois.nic.energy,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
bike,11,16069,2013-11-08,bike,whois.nic.bike,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
taipei,11,2031,2014-09-25,taipei,whois.nic.taipei,"<a class=""jqgrid-link"" href=""http://www.nictaipei.net"" target=""_blank"">http://www.nictaipei.net</a>"
lc,11,0,1991-09-03,lc,whois.nic.lc,"<a class=""jqgrid-link"" href=""http://www.nic.lc"" target=""_blank"">http://www.nic.lc</a>"
pr,11,0,1989-08-27,pr,whois.afilias-srs.net,"<a class=""jqgrid-link"" href=""http://www.nic.pr"" target=""_blank"">http://www.nic.pr</a>"
promo,11,5886,2015-12-18,promo,whois.afilias.net,"<a class=""jqgrid-link"" href=""http://www.afilias.info/contact-us"" target=""_blank"">http://www.afilias.info/contact-us</a>"
rest,11,30588,2014-03-06,rest,whois.nic.rest,"<a class=""jqgrid-link"" href=""http://www.register.rest/"" target=""_blank"">http://www.register.rest/</a>"
vin,11,6386,2015-07-23,vin,whois.nic.vin,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
graphics,10,6715,2013-11-08,graphics,whois.nic.graphics,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
hosting,10,3042,2014-08-15,hosting,whois.uniregistry.net,"<a class=""jqgrid-link"" href=""http://uniregistry.link"" target=""_blank"">http://uniregistry.link</a>"
na,10,0,1991-05-08,na,whois.na-nic.com.na,"<a class=""jqgrid-link"" href=""http://www.na-nic.com.na/"" target=""_blank"">http://www.na-nic.com.na/</a>"
direct,10,12884,2014-05-22,direct,whois.nic.direct,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
eco,10,4070,2016-08-18,eco,whois.nic.eco,"<a class=""jqgrid-link"" href=""https://www.bigroom.eco"" target=""_blank"">https://www.bigroom.eco</a>"
events,10,26108,2014-01-30,events,whois.nic.events,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
fashion,10,12196,2014-10-23,fashion,whois.nic.fashion,"<a class=""jqgrid-link"" href=""http://mm-registry.com"" target=""_blank"">http://mm-registry.com</a>"
tf,10,0,1997-08-26,tf,whois.nic.tf,"<a class=""jqgrid-link"" href=""http://www.nic.tf/"" target=""_blank"">http://www.nic.tf/</a>"
futbol,10,2260,2014-02-06,futbol,whois.nic.futbol,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
gd,10,0,1992-06-03,gd,whois.nic.gd,"<a class=""jqgrid-link"" href=""http://nic.gd"" target=""_blank"">http://nic.gd</a>"
reviews,10,14310,2014-02-06,reviews,whois.nic.reviews,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
gold,10,12797,2015-03-12,gold,whois.nic.gold,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
sale,9,12046,2014-12-17,sale,whois.nic.sale,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
scot,9,12901,2014-06-05,scot,whois.nic.scot,"<a class=""jqgrid-link"" href=""https://dot.scot/"" target=""_blank"">https://dot.scot/</a>"
ao,9,0,1995-11-15,ao,"","<a class=""jqgrid-link"" href=""http://www.dns.ao/"" target=""_blank"">http://www.dns.ao/</a>"
delivery,9,9737,2014-10-16,delivery,whois.nic.delivery,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
domains,9,6643,2013-12-12,domains,whois.nic.domains,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
eus,9,12076,2014-03-06,eus,whois.nic.eus,"<a class=""jqgrid-link"" href=""https://www.domeinuak.eus"" target=""_blank"">https://www.domeinuak.eus</a>"
film,9,5168,2015-02-27,film,whois.nic.film,"<a class=""jqgrid-link"" href=""http://nic.film"" target=""_blank"">http://nic.film</a>"
bt,9,0,1997-07-16,bt,"","<a class=""jqgrid-link"" href=""http://www.nic.bt"" target=""_blank"">http://www.nic.bt</a>"
legal,9,14842,2014-11-20,legal,whois.nic.legal,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
camp,9,7334,2013-12-12,camp,whois.nic.camp,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
mm,8,0,1997-02-04,mm,whois.registry.gov.mm,"<a class=""jqgrid-link"" href=""http://www.ptd.gov.mm/"" target=""_blank"">http://www.ptd.gov.mm/</a>"
sbi,8,85,2016-03-24,sbi,whois.nic.sbi,"<a class=""jqgrid-link"" href=""https://www.sbi.co.in"" target=""_blank"">https://www.sbi.co.in</a>"
cricket,8,1287,2014-11-13,cricket,whois.nic.cricket,"<a class=""jqgrid-link"" href=""http://nic.cricket"" target=""_blank"">http://nic.cricket</a>"
cv,8,0,1996-10-21,cv,"","<a class=""jqgrid-link"" href=""http://www.dns.cv/"" target=""_blank"">http://www.dns.cv/</a>"
sexy,8,5851,2013-11-08,sexy,whois.uniregistry.net,"<a class=""jqgrid-link"" href=""http://uniregistry.link"" target=""_blank"">http://uniregistry.link</a>"
mw,8,0,1997-01-03,mw,whois.nic.mw,"<a class=""jqgrid-link"" href=""http://www.registrar.mw"" target=""_blank"">http://www.registrar.mw</a>"
date,8,10230,2015-02-05,date,whois.nic.date,"<a class=""jqgrid-link"" href=""http://nic.date"" target=""_blank"">http://nic.date</a>"
com,261079,153260052,1985-01-01,com,whois.verisign-grs.com,"<a class=""jqgrid-link"" href=""http://www.verisigninc.com"" target=""_blank"">http://www.verisigninc.com</a>"
net,19480,13282076,1985-01-01,net,whois.verisign-grs.com,"<a class=""jqgrid-link"" href=""http://www.verisigninc.com"" target=""_blank"">http://www.verisigninc.com</a>"
org,17243,10388953,1985-01-01,org,whois.pir.org,"<a class=""jqgrid-link"" href=""http://www.pir.org"" target=""_blank"">http://www.pir.org</a>"
info,3198,3939430,2001-06-26,info,whois.afilias.net,"<a class=""jqgrid-link"" href=""http://www.nic.info"" target=""_blank"">http://www.nic.info</a>"
xyz,2276,3025704,2014-02-06,xyz,whois.nic.xyz,"<a class=""jqgrid-link"" href=""https://nic.xyz"" target=""_blank"">https://nic.xyz</a>"
online,1511,1787268,2015-03-06,online,whois.nic.online,"<a class=""jqgrid-link"" href=""http://www.radixregistry.com"" target=""_blank"">http://www.radixregistry.com</a>"
biz,1025,1377529,2001-06-26,biz,whois.nic.biz,"<a class=""jqgrid-link"" href=""http://www.nic.biz"" target=""_blank"">http://www.nic.biz</a>"
top,531,1093205,2014-07-24,top,whois.nic.top,"<a class=""jqgrid-link"" href=""http://www.nic.top"" target=""_blank"">http://www.nic.top</a>"
site,974,1067958,2015-03-06,site,whois.nic.site,"<a class=""jqgrid-link"" href=""http://www.radixregistry.com"" target=""_blank"">http://www.radixregistry.com</a>"
club,1002,1046714,2014-01-09,club,whois.nic.club,"<a class=""jqgrid-link"" href=""http://dotclub.com"" target=""_blank"">http://dotclub.com</a>"
vip,229,806768,2015-07-30,vip,whois.nic.vip,"<a class=""jqgrid-link"" href=""http://mm-registry.com"" target=""_blank"">http://mm-registry.com</a>"
shop,453,801328,2016-05-05,shop,whois.nic.shop,"<a class=""jqgrid-link"" href=""http://www.gmoregistry.com/en/"" target=""_blank"">http://www.gmoregistry.com/en/</a>"
app,1131,713900,2015-06-25,app,whois.nic.google,"<a class=""jqgrid-link"" href=""https://www.registry.google"" target=""_blank"">https://www.registry.google</a>"
icu,132,639549,2015-03-06,icu,whois.nic.icu,"<a class=""jqgrid-link"" href=""http://nic.icu/"" target=""_blank"">http://nic.icu/</a>"
work,149,557114,2014-08-18,work,whois.nic.work,"<a class=""jqgrid-link"" href=""http://mm-registry.com/"" target=""_blank"">http://mm-registry.com/</a>"
store,381,537388,2016-02-11,store,whois.nic.store,"<a class=""jqgrid-link"" href=""http://radix.website/"" target=""_blank"">http://radix.website/</a>"
live,733,443275,2015-06-25,live,whois.nic.live,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
tech,294,329366,2015-03-12,tech,whois.nic.tech,"<a class=""jqgrid-link"" href=""http://www.radixregistry.com"" target=""_blank"">http://www.radixregistry.com</a>"
mobi,195,322646,2005-10-17,mobi,whois.nic.mobi,"<a class=""jqgrid-link"" href=""http://www.mtld.mobi"" target=""_blank"">http://www.mtld.mobi</a>"
space,267,314440,2014-05-22,space,whois.nic.space,"<a class=""jqgrid-link"" href=""http://radixregistry.com/"" target=""_blank"">http://radixregistry.com/</a>"
website,184,287027,2014-05-22,website,whois.nic.website,"<a class=""jqgrid-link"" href=""http://radixregistry.com/"" target=""_blank"">http://radixregistry.com/</a>"
pro,1022,268283,2002-05-08,pro,whois.afilias.net,"<a class=""jqgrid-link"" href=""http://www.registry.pro/"" target=""_blank"">http://www.registry.pro/</a>"
buzz,41,251727,2013-12-12,buzz,whois.nic.buzz,"<a class=""jqgrid-link"" href=""http://www.buzznames.biz"" target=""_blank"">http://www.buzznames.biz</a>"
dev,307,250140,2014-11-20,dev,whois.nic.google,"<a class=""jqgrid-link"" href=""https://www.registry.google"" target=""_blank"">https://www.registry.google</a>"
bar,17,224393,2014-02-13,bar,whois.nic.bar,"<a class=""jqgrid-link"" href=""http://nic.bar"" target=""_blank"">http://nic.bar</a>"
life,234,217529,2014-05-08,life,whois.nic.life,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
cloud,203,210383,2015-06-18,cloud,whois.nic.cloud,"<a class=""jqgrid-link"" href=""https://www.getdotcloud.com"" target=""_blank"">https://www.getdotcloud.com</a>"
fun,257,199010,2016-11-30,fun,whois.nic.fun,"<a class=""jqgrid-link"" href=""http://www.radixregistry.com"" target=""_blank"">http://www.radixregistry.com</a>"
asia,221,196532,2007-05-02,asia,whois.nic.asia,"<a class=""jqgrid-link"" href=""http://www.registry.asia"" target=""_blank"">http://www.registry.asia</a>"
blog,168,188142,2016-05-12,blog,whois.nic.blog,"<a class=""jqgrid-link"" href=""http://nic.blog"" target=""_blank"">http://nic.blog</a>"
tokyo,23,159086,2014-01-16,tokyo,whois.nic.tokyo,"<a class=""jqgrid-link"" href=""http://www.gmo-registry.com/en/"" target=""_blank"">http://www.gmo-registry.com/en/</a>"
world,134,129930,2014-09-11,world,whois.nic.world,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
monster,27,126884,2015-12-23,monster,whois.nic.monster,"<a class=""jqgrid-link"" href=""https://nic.monster/"" target=""_blank"">https://nic.monster/</a>"
design,86,121260,2014-12-18,design,whois.nic.design,"<a class=""jqgrid-link"" href=""https://toplevel.design"" target=""_blank"">https://toplevel.design</a>"
link,262,120696,2014-01-09,link,whois.uniregistry.net,"<a class=""jqgrid-link"" href=""http://uniregistry.link"" target=""_blank"">http://uniregistry.link</a>"
page,74,116318,2015-02-05,page,whois.nic.google,"<a class=""jqgrid-link"" href=""https://www.registry.google"" target=""_blank"">https://www.registry.google</a>"
art,63,111367,2016-06-09,art,whois.nic.art,"<a class=""jqgrid-link"" href=""http://art.art/"" target=""_blank"">http://art.art/</a>"
ltd,54,111031,2015-08-06,ltd,whois.nic.ltd,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
cat,52,110952,2005-12-19,cat,whois.nic.cat,"<a class=""jqgrid-link"" href=""http://www.domini.cat"" target=""_blank"">http://www.domini.cat</a>"
email,37,110706,2013-12-19,email,whois.nic.email,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
today,143,104520,2013-11-13,today,whois.nic.today,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
cyou,66,95717,2015-03-19,cyou,whois.nic.cyou,"<a class=""jqgrid-link"" href=""http://cy.changyou.com"" target=""_blank"">http://cy.changyou.com</a>"
digital,113,93468,2014-04-17,digital,whois.nic.digital,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
one,199,91953,2014-12-18,one,whois.nic.one,"<a class=""jqgrid-link"" href=""http://www.one.com/"" target=""_blank"">http://www.one.com/</a>"
xxx,107,91645,2011-04-15,xxx,whois.registrar.adult,"<a class=""jqgrid-link"" href=""http://www.icmregistry.com/"" target=""_blank"">http://www.icmregistry.com/</a>"
group,75,86394,2015-07-30,group,whois.nic.group,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
solutions,43,85382,2013-12-19,solutions,whois.nic.solutions,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
rocks,55,80310,2014-01-16,rocks,whois.nic.rocks,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
studio,79,76840,2015-06-25,studio,whois.nic.studio,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
agency,122,75980,2014-01-09,agency,whois.nic.agency,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
best,82,75484,2014-02-20,best,whois.nic.best,"<a class=""jqgrid-link"" href=""https://www.go.best"" target=""_blank"">https://www.go.best</a>"
company,47,73708,2013-12-12,company,whois.nic.company,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
news,378,71334,2015-03-12,news,whois.nic.news,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
fit,20,71262,2014-12-18,fit,whois.nic.fit,"<a class=""jqgrid-link"" href=""http://mm-registry.com"" target=""_blank"">http://mm-registry.com</a>"
win,78,69186,2015-02-05,win,whois.nic.win,"<a class=""jqgrid-link"" href=""http://nic.win"" target=""_blank"">http://nic.win</a>"
nyc,22,63318,2014-03-13,nyc,whois.nic.nyc,"<a class=""jqgrid-link"" href=""http://www.mydotnyc.com"" target=""_blank"">http://www.mydotnyc.com</a>"
guru,137,62527,2013-10-31,guru,whois.nic.guru,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
wang,2,62519,2013-12-12,wang,whois.gtld.knet.cn,"<a class=""jqgrid-link"" href=""http://www.zodiacregistry.com"" target=""_blank"">http://www.zodiacregistry.com</a>"
ovh,24,61090,2014-05-01,ovh,whois-ovh.nic.fr,"<a class=""jqgrid-link"" href=""http://www.ovh.com"" target=""_blank"">http://www.ovh.com</a>"
network,185,61042,2014-08-18,network,whois.nic.network,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
media,177,60011,2014-04-03,media,whois.nic.media,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
click,88,56372,2014-08-15,click,whois.uniregistry.net,"<a class=""jqgrid-link"" href=""http://uniregistry.link"" target=""_blank"">http://uniregistry.link</a>"
services,38,55373,2014-04-03,services,whois.nic.services,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
tel,21,54475,2007-03-01,tel,whois.nic.tel,"<a class=""jqgrid-link"" href=""http://www.nic.tel"" target=""_blank"">http://www.nic.tel</a>"
cam,62,52865,2016-06-09,cam,whois.nic.cam,"<a class=""jqgrid-link"" href=""https://nic.cam/"" target=""_blank"">https://nic.cam/</a>"
casa,30,50205,2014-08-18,casa,whois.nic.casa,"<a class=""jqgrid-link"" href=""http://mm-registry.com/"" target=""_blank"">http://mm-registry.com/</a>"
berlin,6,49113,2013-12-19,berlin,whois.nic.berlin,"<a class=""jqgrid-link"" href=""http://nic.berlin/"" target=""_blank"">http://nic.berlin/</a>"
london,18,47211,2014-02-13,london,whois.nic.london,"<a class=""jqgrid-link"" href=""http://dotlondondomains.london/"" target=""_blank"">http://dotlondondomains.london/</a>"
global,76,47114,2014-05-29,global,whois.nic.global,"<a class=""jqgrid-link"" href=""http://nic.global"" target=""_blank"">http://nic.global</a>"
realtor,8,45394,2014-07-24,realtor,whois.nic.realtor,"<a class=""jqgrid-link"" href=""https://www.get.realtor"" target=""_blank"">https://www.get.realtor</a>"
academy,116,44963,2013-12-12,academy,whois.nic.academy,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
photography,5,44091,2013-11-13,photography,whois.nic.photography,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
host,104,42698,2014-05-22,host,whois.nic.host,"<a class=""jqgrid-link"" href=""http://radixregistry.com/"" target=""_blank"">http://radixregistry.com/</a>"
ink,25,41033,2014-02-27,ink,whois.nic.ink,"<a class=""jqgrid-link"" href=""http://toplevel.design/ink/"" target=""_blank"">http://toplevel.design/ink/</a>"
center,75,40072,2013-12-12,center,whois.nic.center,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
jobs,35,38105,2005-09-08,jobs,whois.nic.jobs,"<a class=""jqgrid-link"" href=""http://www.goto.jobs"" target=""_blank"">http://www.goto.jobs</a>"
love,33,34828,2015-03-25,love,whois.nic.love,"<a class=""jqgrid-link"" href=""http://get.love"" target=""_blank"">http://get.love</a>"
team,51,34675,2015-04-09,team,whois.nic.team,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
technology,21,33588,2013-11-08,technology,whois.nic.technology,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
systems,21,33353,2013-12-12,systems,whois.nic.systems,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
ninja,51,33154,2013-12-19,ninja,whois.nic.ninja,"<a class=""jqgrid-link"" href=""http://www.donuts.domains/"" target=""_blank"">http://www.donuts.domains/</a>"
рус,15,32927,2014-07-03,xn--p1acf,whois.nic.xn--p1acf,"<a class=""jqgrid-link"" href=""http://rusnames.ru/"" target=""_blank"">http://rusnames.ru/</a>"
