url,label,verified
https://youtubergrub.freefire011-bgid.cf/login.php,1,1
https://www.youtubergrub.freefire011-bgid.cf/,1,1
https://www.youtubergrub.freefire011-bgid.cf/login.php,1,1
http://instagrahay.000webhostapp.com/,1,0
http://02helpcentre-id237.com/,1,1
http://wp1.vsolution.ndzjp.spectrum.myjino.ru/andre/ams/coro/b9a6c5bcdef8e2d4fb10b681ec9c6fdd/zlatan.php,1,0
https://www.free-eventpubgm.gq/,1,1
https://www.codashop.mhpv.ml/,1,1
https://governing-gap.000webhostapp.com/,1,0
https://princessninaz69.com/link,1,1
https://cr.mufg.jp.fdsoai.shop/pc/MUFG_pcselectcard.html,1,1
https://www.rmpackage-bill.com/banks/hsbc.co.uk/,1,0
https://updsatefb.000webhostapp.com/,1,0
http://hsbc.cancel-personal-web.com/Login.php,1,1
https://storage.googleapis.com/media.landbot.io/194295/channels/S726WWZM5AJZUQI8Z27UQ5VR0D94WYBJ.htm,1,0
https://www.chat-whatsapp-join.duckdns.org/,1,0
https://portalseguro2021.gq/index.php,1,1
http://www.hsbc.cancel-personal-web.com/Login.php,1,1
https://theprdiva.com.au/wp-admin/includes/A/ali1/ali/login.php,1,1
http://www.hsbc.cancel-new-payments.com/Login.php,1,1
https://posti-fi-fjz.top/amazon/login/login.php,1,0
http://justforthehype.com/amazkn/mazon/d2ae5,1,1
https://peringatan-wkun.000webhostapp.com/,1,0
https://notnotmabargrups.swgb.ga/,1,1
http://mobile-legand2.xyz/,1,1
https://mee-ralbead.com/Chase/62672b5295faf28eb017e192c8730554,1,0
http://0013009.com/banks/Scotia/,1,1
http://jpot-a.top/act.html,1,1
https://bancoitaufeitopravoce.com/,1,0
https://www.samarasecrets.com/117.129.189.133/2021/banks/directing/royalbank/logging.php,1,1
http://onenineseveneight.com/HELLO/link.html,1,1
http://join-whattsaapyoutubersnew.ml/,1,1
http://metrorewards16.com/,1,0
http://royalmail.redelivery-attempt.com/banks/online.citi.eu,1,1
https://www.facebook.ahmedjakir.com/,1,1
http://www.comunidadpi.com/Amazon/home/,1,1
https://royalmail.parcel-redelivery-attemp-ref018.com/banks/online.citi.eu/,1,1
http://hsbc.cancel-web-payment.com/Login.php,1,1
https://www.13-59-181-170.cprapid.com/index.php/false/false/py1n.html/discovercard.com/dfs/accounthome/summary/www.schwab.com,1,0
http://royalmail.redelivery-attempt.com/banks/online.citi.eu/,1,1
http://olx-polska.ml,1,0
https://0013009.com/banks/Scotia/mfaAuth.html,1,1
https://grandfathermole.com//wp-content/themes/log/,1,0
https://thandashot35.000webhostapp.com/,1,0
https://bancoitaucardverificacao.com/,1,1
https://afp.ph/afc.ph/images/cibc/,1,1
https://www.royalmail.co.uk-postal.com/banks/online.citi.eu/,1,1
https://hsbc.payments-cancel-login.com/Login.php,1,1
https://joingroubwhatsapp.bkpgrup.com/,1,0
http://www.comunidadpi.com/Amazon/home/indexe.php,1,1
https://neronet-library.com/kjdjjdbjnhdfkhsd/bmFkamEua29laGxlckB1cy5hYmIuY29t,1,0
http://pot-h.top/act.html,1,1
http://www.royalmail.redelivery-attempt.com/banks/online.citi.eu/,1,1
https://www.cr.mufg.jp.aonfao.com/,1,1
http://volgaday.ru/wp-admin/js/widgets/,1,1
https://royalmail.co.uk-postal.com/banks/online.citi.eu/,1,1
https://0013009.com/banks/Scotia/confirm.html,1,1
http://shard-real-dugout.glitch.me/,1,0
http://dbs-campinng.com/login/,1,0
https://www.hsbc.cancel-web-payment.com/Login.php,1,1
https://www2.cr.mufg.jp.gfgfde.tokyo/,1,1
https://messagerie-vocale-orange94.yolasite.com/,1,0
http://www.comunidadpi.com/Amazon/home/information.php,1,1
